model,fold,test_start,test_end,mean_ic,std_ic,icir,t_stat,hit_rate,n_days
linear,1,2021-02-02,2021-08-02,-0.010686592468770685,0.18184943714322876,-0.05876615642397442,-0.6596484698282304,0.4523809523809524,126
linear,2,2021-08-31,2022-03-01,0.004966306154424968,0.17297044677367024,0.028711876780449785,0.32229001753113945,0.5476190476190477,126
linear,3,2022-03-30,2022-09-28,0.08683030207782683,0.25781075422701216,0.3367986038370201,3.78055495170581,0.6904761904761905,126
linear,4,2022-10-27,2023-04-28,0.004568456845684572,0.21670409678176766,0.021081543512697164,0.23663973902663882,0.48412698412698413,126
linear,5,2023-05-30,2023-11-27,-0.05797465460831797,0.18149514639143183,-0.31942812665239895,-3.5855718288969314,0.42063492063492064,126
rf,1,2021-02-02,2021-08-02,0.01988398839883988,0.10591420510616346,0.18773674767146764,2.107339766081587,0.5396825396825397,126
rf,2,2021-08-31,2022-03-01,0.040491287223960476,0.11625262155653905,0.34830429354462067,3.9097059983589277,0.6111111111111112,126
rf,3,2022-03-30,2022-09-28,0.07277803970873276,0.16006732898690212,0.4546714196417183,5.103674027572289,0.6428571428571429,126
rf,4,2022-10-27,2023-04-28,-0.021153448678201153,0.1350925907277887,-0.15658481759984386,-1.7576602182873182,0.4444444444444444,126
rf,5,2023-05-30,2023-11-27,-0.004730949285404729,0.1256981802469494,-0.037637372920675566,-0.4224784632222337,0.47619047619047616,126
xgb,1,2021-02-02,2021-08-02,0.013813857576233808,0.11624175172796965,0.11883731422562492,1.3339455437900565,0.5634920634920635,126
xgb,2,2021-08-31,2022-03-01,0.028578667390548575,0.12745312047670035,0.22422885594058897,2.5169626654739243,0.5793650793650794,126
xgb,3,2022-03-30,2022-09-28,0.048052424290048044,0.15921927350407353,0.3018002986228841,3.387699950018687,0.6031746031746031,126
xgb,4,2022-10-27,2023-04-28,-0.02214373818334214,0.11392458435034641,-0.1943719023388722,-2.181819192502633,0.4523809523809524,126
xgb,5,2023-05-30,2023-11-27,-0.005249286833445248,0.12294809381301919,-0.042695146143773656,-0.479251826844731,0.49206349206349204,126
lgb,1,2021-02-02,2021-08-02,0.029126055462689118,0.11919922167115136,0.2443476983687236,2.742796111627637,0.6111111111111112,126
lgb,2,2021-08-31,2022-03-01,0.023320522528443317,0.15158883997977204,0.1538406292412766,1.7268567803597215,0.5158730158730159,126
lgb,3,2022-03-30,2022-09-28,0.057448221012577454,0.18316251500689515,0.3136461683244239,3.5206695076332712,0.6031746031746031,126
lgb,4,2022-10-27,2023-04-28,-0.03417741774177418,0.12198749343320951,-0.28017148955099214,-3.1449171703257837,0.4126984126984127,126
lgb,5,2023-05-30,2023-11-27,-0.0011970720881611943,0.14134809058387462,-0.008468965397525926,-0.09506390081395737,0.5317460317460317,126
