model,bps_round_trip,ann_return,ann_vol,sharpe,max_dd,hit_rate,n_periods
linear,0.0,0.18106398123691966,0.1966053660900077,0.9209513699337533,-0.16147438001829328,0.5,32
linear,5.0,0.16846398123691964,0.1966053660900077,0.8568635973028087,-0.16914124176466994,0.5,32
linear,10.0,0.15586398123691964,0.1966053660900077,0.7927758246718642,-0.17674573348572908,0.5,32
rf,0.0,0.07731146293396811,0.14876999150351863,0.5196710852278269,-0.17598334934423676,0.53125,32
rf,5.0,0.0647114629339681,0.14876999150351863,0.4349765855329606,-0.18025908916764766,0.53125,32
rf,10.0,0.0521114629339681,0.14876999150351863,0.3502820858380945,-0.18467295431108832,0.53125,32
xgb,0.0,0.069964643136467,0.14717520742931678,0.47538334994410403,-0.12863797848601677,0.59375,32
xgb,5.0,0.05736464313646699,0.14717520742931678,0.38977110437583223,-0.13571003722513297,0.59375,32
xgb,10.0,0.044764643136466976,0.14717520742931678,0.3041588588075604,-0.14273183335949313,0.5625,32
lgb,0.0,0.1002102296007786,0.13959203046100427,0.717879303494857,-0.1204406876723666,0.53125,32
lgb,5.0,0.0876102296007786,0.13959203046100427,0.6276162708676478,-0.12931090986284566,0.5,32
lgb,10.0,0.0750102296007786,0.13959203046100427,0.5373532382404387,-0.1381005444363106,0.5,32
